alpha_name,beta_name,alpha_value,beta_value,rho,cf_terms,best_p,best_q,best_approx,delta,abs_error,n_lock,tau_scaled,pair,carrier,abs_delta,Crystal_n_start,Crystal_n_end,Crystal_count,Crystal_mean_err,Crystal_lock_scaled_pct,Crystal_lock_soft_pct,Transit_n_start,Transit_n_end,Transit_count,Transit_mean_err,Transit_lock_scaled_pct,Transit_lock_soft_pct,PostCrk_n_start,PostCrk_n_end,PostCrk_count,PostCrk_mean_err,PostCrk_lock_scaled_pct,PostCrk_lock_soft_pct
pi_over_4,pi_over_3,0.7853981633974483,1.0471975511965976,0.7619891313745262,"[0; 1, 3, 4, 1, 26, 14, 1, 7, 1]",16,21,0.7619047619047619,8.436946976431159e-05,8.436946976431159e-05,11852.62871502603,0.004761904761904762,pi_over_4 / pi_over_3,16/21,8.436946976431159e-05,1,1185,1185,0.05003109557021158,4.725738396624473,49.957805907173,10667.0,13037.0,2371,0.05001001667893473,4.765921552087727,50.02108814846057,14223.0,17778.0,3556,0.3499537009631902,0.0,0.0
sqrt11,euler_gamma,3.3166247903554,0.577215664901532,0.8182677597822234,"[0; 1, 4, 1, 1, 95, 1, 1, 1, 1]",9,11,0.8181818181818182,8.594160040520382e-05,8.594160040520382e-05,11635.808447656618,0.00909090909090909,sqrt11 / euler_gamma,9/11,8.594160040520382e-05,1,1163,1163,0.05001801143585791,9.028374892519347,49.957007738607054,10472.0,12799.0,2328,0.050018011435857955,9.063573883161512,49.95704467353952,13962.0,17453.0,3492,0.34992768836553123,0.0,0.0
catalan,pi_over_3,0.915965594177219,1.0471975511965976,0.09668149859837771,"[0; 10, 2, 1, 10, 1, 1, 4, 1, 1]",3,31,0.0967741935483871,-9.2694950009381e-05,9.2694950009381e-05,10788.074214385973,0.0032258064516129032,catalan / pi_over_3,3/31,9.2694950009381e-05,1,1078,1078,0.050008925530062476,3.153988868274583,50.0,9709.0,11866.0,2158,0.05000893190568702,3.19740500463392,50.0,12945.0,16182.0,3238,0.34996290446165923,0.0,0.0
sqrt7,log10,2.6457513110645907,2.302585092994046,0.16656741601749014,"[0; 6, 279, 1, 2, 2, 3, 73, 2, 1]",1,6,0.16666666666666666,-9.925064917651327e-05,9.925064917651327e-05,10075.50084857924,0.016666666666666666,sqrt7 / log10,1/6,9.925064917651327e-05,1,1007,1007,0.05002232718496736,16.583912611717974,49.95034756703078,9067.0,11083.0,2017,0.05004715219078341,16.65840356965791,49.97521070897372,12090.0,15113.0,3024,0.34995770477447036,0.0,0.0
pi_over_4,zeta3,0.7853981633974483,1.202056903159594,0.6873933889908406,"[0; 1, 2, 5, 36, 2, 4, 1, 3, 1]",11,16,0.6875,-0.00010661100915942967,0.00010661100915942967,9379.89432690358,0.00625,pi_over_4 / zeta3,11/16,0.00010661100915942967,1,937,937,0.050000563295772335,6.189967982924227,49.94663820704376,8441.0,10317.0,1877,0.05002725264494142,6.233351092168354,49.97336174746936,11255.0,14069.0,2815,0.3499085979766984,0.0,0.0
log3,sqrt7,1.0986122886681098,2.6457513110645907,0.09666204543139545,"[0; 10, 2, 1, 8, 1, 1, 1, 1, 31]",3,31,0.0967741935483871,-0.00011214811699164495,0.00011214811699164495,8916.779227550473,0.0032258064516129032,log3 / sqrt7,3/31,0.00011214811699164495,1,891,891,0.050018060178274835,3.1425364758698096,49.943883277216614,8025.0,9808.0,1784,0.050018060178274676,3.195067264573991,50.0,10700.0,13375.0,2676,0.34998295828695836,0.0,0.0
two_pi,pi_over_3,6.283185307179586,1.0471975511965976,0.8519692859228343,"[0; 1, 5, 1, 3, 11, 2, 2, 1, 2]",23,27,0.8518518518518519,0.00011743407098241399,0.00011743407098241399,8515.416281104248,0.003703703703703704,two_pi / pi_over_3,23/27,0.00011743407098241399,1,851,851,0.05002691423851201,3.6427732079905994,49.94124559341951,7663.0,9366.0,1704,0.05002697161595885,3.697183098591549,50.0,10218.0,12773.0,2556,0.34996336297843395,0.0,0.0
zeta3,pi_over_2,1.202056903159594,1.5707963267948966,0.4075314958608285,"[0; 2, 2, 4, 1, 10, 4, 5, 1, 5]",11,27,0.4074074074074074,0.00012408845342110064,0.00012408845342110064,8058.767535819371,0.003703703703703704,zeta3 / pi_over_2,11/27,0.00012408845342110064,1,805,805,0.05000764672869452,3.602484472049689,49.93788819875776,7252.0,8864.0,1613,0.05003870865619548,3.7197768133911966,49.96900185988841,9670.0,12088.0,2419,0.34995828476790836,0.0,0.0
zeta3,two_pi,1.202056903159594,6.283185307179586,0.10013410513415796,"[0; 9, 1, 73, 1, 2, 65, 3, 1, 5]",1,10,0.1,0.000134105134157958,0.000134105134157958,7456.836058358012,0.01,zeta3 / two_pi,1/10,0.000134105134157958,1,745,745,0.05002121504092041,9.93288590604027,49.93288590604027,6711.0,8202.0,1492,0.050021215040920455,9.986595174262733,50.0,8948.0,11185.0,2238,0.34996933300114014,0.0,0.0
sqrt2,ln_phi,1.4142135623730951,0.48121182505960347,0.5261813246622629,"[0; 1, 1, 9, 20, 2, 55, 1, 1, 4]",10,19,0.5263157894736842,-0.00013446481142131983,0.00013446481142131983,7436.889915136911,0.005263157894736842,sqrt2 / ln_phi,10/19,0.00013446481142131983,1,743,743,0.05002090984874189,5.248990578734858,49.93270524899058,6693.0,8180.0,1488,0.050020909848742134,5.309139784946237,49.93279569892473,8924.0,11155.0,2232,0.34995947426463364,0.0,0.0
catalan,two_pi,0.915965594177219,6.283185307179586,0.9522402898650747,"[0; 1, 19, 1, 15, 5, 1, 16, 3, 4]",20,21,0.9523809523809523,-0.000140662515877632,0.000140662515877632,7109.21451788862,0.004761904761904762,catalan / two_pi,20/21,0.000140662515877632,1,710,710,0.050005524394517276,4.647887323943662,50.0,6398.0,7820.0,1423,0.05004068651610457,4.778636683063949,49.9648629655657,8531.0,10663.0,2133,0.3499381648781449,0.0,0.0
log10,phi,2.302585092994046,1.618033988749895,0.7331919163554463,"[0; 1, 2, 1, 2, 1, 30, 1, 2, 3]",11,15,0.7333333333333333,-0.0001414169778869434,0.0001414169778869434,7071.286736161592,0.006666666666666667,log10 / phi,11/15,0.0001414169778869434,1,707,707,0.05006161017199622,6.647807637906649,49.929278642149924,6364.0,7778.0,1415,0.05002625959898242,6.6431095406360425,49.96466431095406,8485.0,10606.0,2122,0.3498957624203142,0.0,0.0
log10,phi_inv,2.302585092994046,0.6180339887498948,0.2668080836445539,"[0; 3, 1, 2, 1, 30, 1, 2, 3, 1]",4,15,0.26666666666666666,0.00014141697788722096,0.00014141697788722096,7071.286736147713,0.006666666666666667,log10 / phi_inv,4/15,0.00014141697788722096,1,707,707,0.050061610172074916,6.647807637906649,49.929278642149924,6364.0,7778.0,1415,0.05002625959906196,6.6431095406360425,49.96466431095406,8485.0,10606.0,2122,0.34989576242243237,0.0,0.0
ln_phi,sqrt5,0.48121182505960347,2.23606797749979,0.09105195618047857,"[0; 10, 1, 56, 1, 15, 2, 1, 4, 2]",1,11,0.09090909090909091,0.00014286527138765437,0.00014286527138765437,6999.601724666688,0.00909090909090909,ln_phi / sqrt5,1/11,0.00014286527138765437,1,699,699,0.05000284498567991,9.012875536480687,49.92846924177397,6299.0,7699.0,1401,0.050038597170222285,9.136331192005711,49.964311206281224,8399.0,10499.0,2101,0.34993394934197036,0.0,0.0
sqrt3,pi,1.7320508075688772,3.141592653589793,0.47985655928469495,"[0; 2, 11, 1, 10, 4, 3, 1, 3, 3]",12,25,0.48,-0.0001434407153050321,0.0001434407153050321,6971.521285804119,0.004,sqrt3 / pi,12/25,0.0001434407153050321,1,697,697,0.050060809641462346,3.873744619799139,49.92826398852224,6274.0,7668.0,1395,0.050024977357568584,4.014336917562724,50.03584229390681,8365.0,10457.0,2093,0.34992057173582475,0.0,0.0
sqrt3,inv_pi,1.7320508075688772,0.3183098861837907,0.520143440715305,"[0; 1, 1, 11, 1, 10, 4, 3, 1, 3]",13,25,0.52,0.0001434407153050321,0.0001434407153050321,6971.521285804119,0.004,sqrt3 / inv_pi,13/25,0.0001434407153050321,1,697,697,0.050060809641462346,3.873744619799139,49.92826398852224,6274.0,7668.0,1395,0.050024977357568584,4.014336917562724,50.03584229390681,8365.0,10457.0,2093,0.34992057173582514,0.0,0.0
phi_over_pi,sqrt7,0.5150362148004839,2.6457513110645907,0.318038336855464,"[0; 3, 6, 1, 13, 1, 1, 6, 2, 1]",7,22,0.3181818181818182,-0.00014348132635416677,0.00014348132635416677,6969.548061826649,0.004545454545454545,phi_over_pi / sqrt7,7/22,0.00014348132635416677,1,696,696,0.05000324223442883,4.454022988505748,50.0,6272.0,7666.0,1395,0.050039143222867455,4.587813620071684,49.96415770609319,8363.0,10454.0,2092,0.3499440590032258,0.0,0.0
sqrt5,pi_over_e,2.23606797749979,1.1557273497909217,0.5601436530835571,"[0; 1, 1, 3, 1, 1, 1, 10, 2, 121]",14,25,0.56,0.000143653083557016,0.000143653083557016,6961.214999628597,0.004,sqrt5 / pi_over_e,14/25,0.000143653083557016,1,696,696,0.05006309961963869,3.8793103448275863,50.0,6265.0,7657.0,1393,0.050027182739336845,4.0201005025125625,49.96410624551328,8353.0,10441.0,2089,0.3499080261857803,0.0,0.0
sqrt5,e_over_pi,2.23606797749979,0.8652559794322651,0.43985634691644293,"[0; 2, 3, 1, 1, 1, 10, 2, 121, 10]",11,25,0.44,-0.00014365308355707151,0.00014365308355707151,6961.214999625907,0.004,sqrt5 / e_over_pi,11/25,0.00014365308355707151,1,696,696,0.05006309961963864,3.8793103448275863,50.0,6265.0,7657.0,1393,0.05002718273933652,4.0201005025125625,49.96410624551328,8353.0,10441.0,2089,0.3499080261857803,0.0,0.0
