alpha_name,beta_name,alpha_value,beta_value,rho,cf_terms,best_p,best_q,best_approx,delta,abs_error,n_lock,tau_scaled,pair,carrier,abs_delta,Crystal_n_start,Crystal_n_end,Crystal_count,Crystal_mean_err,Crystal_lock_scaled_pct,Crystal_lock_soft_pct,Transit_n_start,Transit_n_end,Transit_count,Transit_mean_err,Transit_lock_scaled_pct,Transit_lock_soft_pct,PostCrk_n_start,PostCrk_n_end,PostCrk_count,PostCrk_mean_err,PostCrk_lock_scaled_pct,PostCrk_lock_soft_pct
silver_inv,sqrt11,0.41421356237309515,3.3166247903554,0.26487733053414797,"[0; 3, 1, 3, 2, 4, 1, 1, 1, 1]",5,19,0.2631578947368421,0.0017194357973058794,0.0017194357973058794,581.5861235219502,0.005263157894736842,silver_inv / sqrt11,5/19,0.0017194357973058794,1,58,58,0.05072335602052302,5.172413793103448,50.0,523.0,639.0,117,0.05029843675338096,5.128205128205128,49.572649572649574,697.0,872.0,176,0.34889738298644896,0.0,0.0
pi_over_4,sqrt7,0.7853981633974483,2.6457513110645907,0.7517208331661527,"[0; 1, 3, 36, 14, 2, 1, 2, 1, 8]",3,4,0.75,0.00172083316615268,0.00172083316615268,581.1138579085682,0.025,pi_over_4 / sqrt7,3/4,0.00172083316615268,1,58,58,0.05076457840150406,24.137931034482758,50.0,523.0,639.0,117,0.050332367735382605,24.786324786324787,49.572649572649574,697.0,871.0,175,0.349133202263701,0.0,0.0
sqrt11,log3,3.3166247903554,1.0986122886681098,0.7482757101589943,"[0; 1, 2, 1, 35, 2, 77, 1, 3, 1]",3,4,0.75,-0.0017242898410056995,0.0017242898410056995,579.9489019878152,0.025,sqrt11 / log3,3/4,0.0017242898410056995,1,57,57,0.05000440538916522,24.561403508771928,49.122807017543856,521.0,637.0,117,0.050445777931446355,24.786324786324787,49.572649572649574,695.0,869.0,175,0.3483946556664562,0.0,0.0
sqrt5,e,2.23606797749979,2.718281828459045,0.8047189562170503,"[0; 1, 4, 8, 3, 1, 1, 1, 1, 1]",25,31,0.8064516129032258,-0.0017326566861755044,0.0017326566861755044,577.1483802756687,0.0032258064516129032,sqrt5 / e,25/31,0.0017326566861755044,1,57,57,0.05024704389909113,1.7543859649122806,49.122807017543856,519.0,634.0,116,0.05025147652110046,3.4482758620689653,50.0,692.0,865.0,174,0.3488732301876695,0.0,0.0
phi_over_pi,zeta3,0.5150362148004839,1.202056903159594,0.39459323585789585,"[0; 2, 1, 1, 6, 1, 3, 1, 20, 1]",11,28,0.39285714285714285,0.0017360930007530029,0.0017360930007530029,576.0060086448512,0.0035714285714285713,phi_over_pi / zeta3,11/28,0.0017360930007530029,1,57,57,0.050346697021836924,3.508771929824561,49.122807017543856,518.0,633.0,116,0.05034687687642772,4.310344827586207,49.137931034482754,691.0,864.0,174,0.34981230808545366,0.0,0.0
ln_phi,sqrt3,0.48121182505960347,1.7320508075688772,0.6684151840960426,"[0; 1, 2, 63, 4, 1, 2, 2, 1, 1]",2,3,0.6666666666666666,0.0017485174293759842,0.0017485174293759842,571.9130865952436,0.03333333333333333,ln_phi / sqrt3,2/3,0.0017485174293759842,1,57,57,0.050707005451902355,33.33333333333333,49.122807017543856,514.0,629.0,116,0.050707005451902556,32.758620689655174,49.137931034482754,686.0,857.0,172,0.3489811967635428,0.0,0.0
e,pi_over_4,2.718281828459045,0.7853981633974483,0.8603184558480486,"[0; 1, 6, 6, 3, 1, 1, 9, 1, 1]",25,29,0.8620689655172413,-0.001750509669192768,0.001750509669192768,571.262197289742,0.0034482758620689655,e / pi_over_4,25/29,0.001750509669192768,1,57,57,0.050764780406592,1.7543859649122806,49.122807017543856,514.0,628.0,115,0.0503273386542807,3.4782608695652173,49.56521739130435,685.0,856.0,172,0.348767700113069,0.0,0.0
sqrt3,silver_inv,1.7320508075688772,0.41421356237309515,0.37676128213509197,"[0; 2, 1, 1, 1, 8, 4, 17, 147, 2]",3,8,0.375,0.0017612821350919683,0.0017612821350919683,567.7682070781825,0.0125,sqrt3 / silver_inv,3/8,0.0017612821350919683,1,56,56,0.05019654085012116,12.5,50.0,510.0,624.0,115,0.050644797982756055,12.173913043478262,49.56521739130435,681.0,851.0,171,0.34914211548044805,0.0,0.0
sqrt3,silver,1.7320508075688772,2.414213562373095,0.6232387178649079,"[0; 1, 1, 1, 1, 1, 8, 4, 17, 147]",5,8,0.625,-0.0017612821350920793,0.0017612821350920793,567.7682070781467,0.0125,sqrt3 / silver,5/8,0.0017612821350920793,1,56,56,0.05019654085012404,12.5,50.0,510.0,624.0,115,0.05064479798275828,12.173913043478262,49.56521739130435,681.0,851.0,171,0.3491421154805328,0.0,0.0
silver,phi,2.414213562373095,1.618033988749895,0.8315709239073146,"[0; 1, 4, 1, 14, 1, 12, 1, 6, 1]",5,6,0.8333333333333334,-0.0017624094260187961,0.0017624094260187961,567.4050451823531,0.016666666666666666,silver / phi,5/6,0.0017624094260187961,1,56,56,0.05022866864153467,16.071428571428573,50.0,510.0,624.0,115,0.05067164711187329,16.52173913043478,48.69565217391305,680.0,851.0,172,0.3491244156173596,0.0,0.0
silver,phi_inv,2.414213562373095,0.6180339887498948,0.16842907609268565,"[0; 5, 1, 14, 1, 12, 1, 6, 1, 7]",1,6,0.16666666666666666,0.0017624094260189904,0.0017624094260189904,567.4050451822906,0.016666666666666666,silver / phi_inv,1/6,0.0017624094260189904,1,56,56,0.05022866864154096,16.071428571428573,50.0,510.0,624.0,115,0.050671647111878104,16.52173913043478,48.69565217391305,680.0,851.0,172,0.34912441561753005,0.0,0.0
silver_inv,phi,0.41421356237309515,1.618033988749895,0.16842907609268565,"[0; 5, 1, 14, 1, 12, 1, 6, 1, 7]",1,6,0.16666666666666666,0.0017624094260189904,0.0017624094260189904,567.4050451822906,0.016666666666666666,silver_inv / phi,1/6,0.0017624094260189904,1,56,56,0.05022866864154096,16.071428571428573,50.0,510.0,624.0,115,0.050671647111878104,16.52173913043478,48.69565217391305,680.0,851.0,172,0.34912441561753005,0.0,0.0
silver_inv,phi_inv,0.41421356237309515,0.6180339887498948,0.8315709239073141,"[0; 1, 4, 1, 14, 1, 12, 1, 6, 1]",5,6,0.8333333333333334,-0.0017624094260192402,0.0017624094260192402,567.4050451822101,0.016666666666666666,silver_inv / phi_inv,5/6,0.0017624094260192402,1,56,56,0.05022866864154735,16.071428571428573,50.0,510.0,624.0,115,0.05067164711188367,16.52173913043478,48.69565217391305,680.0,851.0,172,0.34912441561769997,0.0,0.0
sqrt2,e_over_pi,1.4142135623730951,0.8652559794322651,0.6053764690963512,"[0; 1, 1, 1, 1, 6, 1, 5, 4, 9]",17,28,0.6071428571428571,-0.0017663880465058623,0.0017663880465058623,566.1270194723779,0.0035714285714285713,sqrt2 / e_over_pi,17/28,0.0017663880465058623,1,56,56,0.05034205932541843,3.571428571428571,50.0,509.0,622.0,114,0.05034599556538105,3.508771929824561,50.0,679.0,849.0,171,0.34952046753051436,0.0,0.0
sqrt2,pi_over_e,1.4142135623730951,1.1557273497909217,0.39462353090364877,"[0; 2, 1, 1, 6, 1, 5, 4, 9, 110]",11,28,0.39285714285714285,0.0017663880465059179,0.0017663880465059179,566.1270194723602,0.0035714285714285713,sqrt2 / pi_over_e,11/28,0.0017663880465059179,1,56,56,0.05034205932541842,3.571428571428571,50.0,509.0,622.0,114,0.05034599556537706,3.508771929824561,50.0,679.0,849.0,171,0.3495204675305147,0.0,0.0
log10,catalan,2.302585092994046,0.915965594177219,0.4982236280215755,"[0; 2, 140, 4, 4, 3, 4, 8, 1, 1]",1,2,0.5,-0.001776371978424507,0.001776371978424507,562.9451557139041,0.05,log10 / catalan,1/2,0.001776371978424507,1,56,56,0.050626601385098446,50.0,50.0,506.0,619.0,114,0.05062660138509793,50.0,50.0,675.0,844.0,170,0.3491545176134132,0.0,0.0
ln_phi,sqrt7,0.48121182505960347,2.6457513110645907,0.2482204572157939,"[0; 4, 34, 1, 6, 1, 3, 2, 3, 1]",1,4,0.25,-0.0017795427842061118,0.0017795427842061118,561.9420948320269,0.025,ln_phi / sqrt7,1/4,0.0017795427842061118,1,56,56,0.05071696934987413,25.0,50.0,505.0,618.0,114,0.050716969349871646,24.561403508771928,50.0,674.0,842.0,169,0.348893430428233,0.0,0.0
